,mcc,tp,tn,fp,fn,auroc,auprc,f1,acc,eval_loss
0,0.6386731969179376,92.6,399.0,28.0,44.4,0.9284671532846716,0.8148027579142892,0.7189440993788819,0.871631205673759,0.8862872332279543
0,0.6740043461081425,93.6,405.6,21.4,43.4,0.9311167712268584,0.8263443072080638,0.7428571428571428,0.8851063829787235,0.8235413199578439
0,0.643607512563965,93.0,399.6,27.4,44.0,0.9214174601275233,0.8061443426552989,0.7226107226107227,0.873404255319149,0.7014754276033879
0,0.6583666812503922,96.4,398.6,28.4,40.6,0.9209336911742081,0.7895417380125824,0.7364400305576776,0.8776595744680851,0.44300915439509686
0,0.6679046537800517,96.4,400.8,26.2,40.6,0.9209764269474693,0.8025257225801024,0.7426810477657935,0.8815602836879431,0.6403998952863428
0,0.6495174674900208,95.4,397.8,29.2,41.6,0.9194584522812356,0.7827134307144172,0.7293577981651376,0.874468085106383,0.7231486091118617
0,0.6203996369080834,96.0,390.0,37.0,41.0,0.9159814697687139,0.7786705545225379,0.7111111111111111,0.8617021276595744,0.793252628793319
