,mcc,tp,tn,fp,fn,auroc,auprc,f1,acc,eval_loss
0,0.6578222449015538,153.0,322.4,55.6,33.0,0.8844541161745463,0.7982586304724368,0.7754688291941206,0.8429078014184398,0.9923793532782131
0,0.658710664195011,152.0,324.0,54.0,34.0,0.8819536894805712,0.7894115999733472,0.7755102040816326,0.8439716312056736,0.9282818150189188
0,0.6213011558691879,145.4,321.8,56.2,40.6,0.8800534789782102,0.7556827530431555,0.7502579979360166,0.8283687943262411,0.8881637435820368
0,0.6118908219049692,152.0,309.0,69.0,34.0,0.8858451385333106,0.7983405071694927,0.7469287469287469,0.8173758865248226,0.611967692606979
0,0.5998135134469706,147.2,312.4,65.6,38.8,0.8820703191670933,0.7821559633279296,0.7382146439317954,0.8148936170212766,0.9674243575996823
0,0.5728973860418085,146.6,304.6,73.4,39.4,0.8791659555100415,0.8018867538321738,0.722167487684729,0.8,0.8751998614933756
0,0.5993800861995182,146.4,313.6,64.4,39.6,0.8668430335097002,0.7596917772567113,0.7379032258064516,0.8156028368794326,0.9903181509839165
