,mcc,tp,tn,fp,fn,auroc,auprc,f1,acc,eval_loss
0,0.6611328851421873,239.0,229.2,42.8,53.0,0.8898519339242548,0.8723375285170756,0.8330428720808645,0.8301418439716312,1.098578769299719
1,0.6616637834911506,246.8,221.8,50.2,45.2,0.8931683118452861,0.8818783782747672,0.8380305602716469,0.8308510638297871,1.0939042030109298
2,0.6619933480285929,249.4,219.4,52.6,42.6,0.8841181506849315,0.861300495024904,0.8397306397306398,0.8312056737588651,0.9983970493078231
3,0.5742871115497306,227.2,216.6,55.4,64.8,0.8673549556809025,0.8526179095026988,0.7908109989557954,0.7868794326241135,0.7381830973757637
4,0.6068815373242484,238.8,214.4,57.6,53.2,0.8739348307816277,0.8599808386841996,0.8116927260367096,0.8035460992907802,1.001325158112579
5,0.6345355286521446,244.0,217.0,55.0,48.0,0.8938104351329574,0.892281459403559,0.8257191201353637,0.8173758865248226,0.745874497294426
0,0.5695399534923256,226.2,216.2,55.8,65.8,0.8711044520547944,0.8529640256798887,0.7881533101045296,0.7843971631205673,1.0867667130298084
