,mcc,tp,tn,fp,fn,auroc,auprc,f1,acc,eval_loss
0,0.7140442543579401,235.8,278.8,41.2,44.2,0.9245725446428571,0.903964305853618,0.8466786355475764,0.8576666666666666,0.938737542378275
0,0.7421897337265957,246.0,276.6,43.4,34.0,0.9278426339285714,0.8979750224529376,0.8640674394099052,0.8710000000000001,0.9017182276045022
0,0.699225755693916,242.0,267.6,52.4,38.0,0.9073002232142858,0.87722797689028,0.8426183844011143,0.8493333333333334,0.805177495746236
0,0.6835855077527178,220.0,285.2,34.8,60.0,0.9112622767857144,0.9009448708594034,0.8227374719521318,0.842,0.5502432634955958
0,0.6519585122313487,228.0,268.0,52.0,52.0,0.8992935267857144,0.8643184690227936,0.8142857142857143,0.8266666666666668,0.9519681000395825
